# timestamp tx ty tz qx qy qz qw
1753909157.427216 -0.002563 0.027605 -0.028328 0.002112 0.000004 -0.535135 0.844764
1753909158.193912 -0.002563 0.027605 -0.028328 0.002108 -0.000001 -0.535135 0.844764
1753909158.660522 -0.002563 0.027605 -0.028328 0.002097 0.000012 -0.535135 0.844764
1753909159.293809 -0.002563 0.027605 -0.028328 0.002175 0.000016 -0.535135 0.844764
1753909159.627100 -0.002563 0.027605 -0.028328 0.002197 0.000028 -0.535135 0.844763
1753909159.860491 -0.002563 0.027605 -0.028328 0.002223 0.000036 -0.535136 0.844763
1753909160.294096 -0.002563 0.027605 -0.028328 0.002201 -0.000008 -0.535136 0.844763
1753909160.527582 -0.002563 0.027605 -0.028328 0.002187 -0.000032 -0.535136 0.844763
1753909161.361239 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909161.594610 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909162.127998 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909162.461349 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909163.161478 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909163.661595 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909164.228393 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909164.528453 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909164.828503 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909164.961847 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909165.661877 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909165.861908 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909166.495222 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909166.561884 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909167.495892 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909167.562639 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909167.863011 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909168.596411 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909168.763068 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909169.263179 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909169.396539 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909169.463219 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909170.330020 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909170.463367 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909170.663385 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909171.163725 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909171.464105 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909172.064636 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909172.464841 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909172.831687 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909172.898380 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909173.432536 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909173.566085 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909173.966679 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909174.266861 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909174.400276 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909174.767217 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909175.700778 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909175.767460 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909176.367696 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
1753909176.601133 -0.002563 0.027605 -0.028328 0.002153 -0.000045 -0.535136 0.844763
